company_id;free_float_level;last_trade_date;last_trade_price;market_capitilization;outstanding_shares;percent_weight;securityid;security_name;security_symbol;total_market_capitalization
206;36.00;2020-04-08;0.49;588000000.00;1200000000.00;0.01;217;MABUHAY HOLDINGS CORPORATION;MHC;9841681459717.74
102;58.23;2020-04-07;2.06;3078137848.44;1494241674.00;0.03;256;MANILA JOCKEY CLUB, INC.;MJC;9841681459717.74
24;13.00;2020-04-07;2.10;6666252224.10;3174405821.00;0.07;194;MJC INVESTMENTS CORPORATION;MJIC;9841681459717.74
604;42.23;2020-04-08;2.49;78076080822.48;31355855752.00;0.79;526;METRO PACIFIC INVESTMENTS CORPORATION;MPI;9841681459717.74
131;48.00;2020-04-08;0.15;1234335551.38;8512658975.00;0.01;309;MRC ALLIED INCORPORATED;MRC;9841681459717.74
659;22.00;2020-04-08;1.46;5006887500.00;3429375000.00;0.05;616;Metro Retail Stores Group, Inc.;MRSGI;9841681459717.74
100;12.00;2020-04-08;3.19;2109576979.62;661309398.00;0.02;242;MABUHAY VINYL CORPORATION;MVC;9841681459717.74
270;55.89;2020-04-08;10.56;21804706355.52;2064839617.00;0.22;518;MANILA WATER COMPANY, INC.;MWC;9841681459717.74
627;34.61;2020-04-08;6.30;12684481217.10;2013409717.00;0.13;564;MEGAWIDE CONSTRUCTION CORP.;MWIDE;9841681459717.74
103;38.42;2020-04-08;0.91;919100000.00;1010000000.00;0.01;213;NIHAO MINERAL RESOURCES INTERNATIONAL, INC.;NI;9841681459717.74
625;33.67;2020-04-08;1.62;22085411589.54;13632970117.00;0.22;561;NICKEL ASIA CORPORATION;NIKL;9841681459717.74
264;20.00;2020-04-08;1.60;2676115948.80;1672572468.00;0.03;510;NOW CORPORATION;NOW;9841681459717.74
606;48.00;2020-04-08;0.68;1444051808.00;2123605600.00;0.01;529;NATIONAL REINSURANCE CORPORATION OF THE PHILIPPINES;NRCP;9841681459717.74
179;33.00;2010-11-04;7.00;728092575.00;104013225.00;0.01;100;NEXTGENESIS CORPORATION;NXGEN;9841681459717.74
207;86.00;2020-04-08;0.36;372913893.91;1050461673.00;0.00;330;OMICO CORPORATION;OM;9841681459717.74
43;59.38;2020-04-02;0.01;800000000.00;80000000000.00;0.01;339;ORIENTAL PETROLEUM AND MINERALS CORPORATION "B";OPMB;9841681459717.74
616;44.00;2020-04-08;0.45;1295325002.25;2878500005.00;0.01;541;ORIENTAL PENINSULA RESOURCES GROUP, INC.;ORE;9841681459717.74
45;46.10;2020-04-07;0.01;1573324203.94;191868805358.00;0.02;341;THE PHILODRILL CORPORATION;OV;9841681459717.74
109;22.00;2020-04-08;2.80;910000000.00;325000000.00;0.01;342;Pacifica Holdings, Inc.;PA;9841681459717.74
20;10.00;2020-04-08;6.70;77793554221.40;11610978242.00;0.79;189;PAL HOLDINGS, INC.;PAL;9841681459717.74
194;15.00;2020-04-07;2.14;2457864613.24;1148534866.00;0.02;195;PAXYS, INC.;PAX;9841681459717.74
640;37.00;2020-04-08;8.65;5568438313.10;643750094.00;0.06;583;PHILIPPINE BUSINESS BANK;PBB;9841681459717.74
208;25.00;2020-04-08;16.00;7690322608.00;480645163.00;0.08;110;PHILIPPINE BANK OF COMMUNICATIONS;PBC;9841681459717.74
136;26.73;2020-04-08;2.57;24094018557.29;9375104497.00;0.24;139;PETRON CORPORATION;PCOR;9841681459717.74
99;50.00;2008-06-04;0.21;867608465.07;4232236415.00;0.01;245;PICOP RESOURCES, INC.;PCP;9841681459717.74
578;38.00;2020-04-08;2.42;1376282657.64;568711842.00;0.01;516;PETROENERGY RESOURCES CORPORATION;PERC;9841681459717.74
629;35.00;2020-04-08;41.40;119407230261.00;2884232615.00;1.21;567;PUREGOLD PRICE CLUB, INC.;PGOLD;9841681459717.74
148;93.00;2020-04-08;0.20;398096177.80;1990480889.00;0.00;258;PREMIERE HORIZON ALLIANCE CORPORATION;PHA;9841681459717.74
97;10.00;2007-05-02;1.40;1394947755.60;996391254.00;0.01;220;PHILCOMSAT HOLDINGS CORPORATION;PHC;9841681459717.74
138;52.64;2020-04-07;0.34;491486942.20;1445549830.00;0.00;310;PHILIPPINE ESTATES CORPORATION;PHES;9841681459717.74
107;30.00;2020-04-08;8.95;2438540851.75;272462665.00;0.02;184;PHINMA CORPORATION;PHN;9841681459717.74
631;10.00;2020-04-08;3.99;19125133350.96;4793266504.00;0.19;570;PH Resorts Group Holdings, Inc.;PHR;9841681459717.74
617;33.00;2020-04-08;1.80;6648790102.20;3693772279.00;0.07;543;PEPSI-COLA PRODUCTS PHILIPPINES, INC.;PIP;9841681459717.74
664;28.36;2020-04-08;5.12;7840363791.36;1531321053.00;0.08;631;SHAKEY'S PIZZA ASIA VENTURES, INC.;PIZZA;9841681459717.74
158;21.00;2020-04-08;0.30;9365079300.00;31216931000.00;0.10;344;Premium Leisure Corp.;PLC;9841681459717.74
104;15.00;2020-04-08;4.94;418533754.08;84723432.00;0.00;239;PANASONIC MANUFACTURING PHILIPPINES CORPORATION;PMPC;9841681459717.74
111;21.00;2003-03-04;0.37;320354880.00;865824000.00;0.00;311;PRIMETOWN PROPERTY GROUP, INC.;PMT;9841681459717.74
139;21.39;2020-04-08;19.86;30301689921.00;1525764850.00;0.31;109;PHILIPPINE NATIONAL BANK;PNB;9841681459717.74
7;13.12;2008-04-09;4.90;854779319.10;174444759.00;0.01;151;PHILIPPINE NATIONAL CONSTRUCTION CORPORATION;PNC;9841681459717.74
608;13.46;2020-04-08;10.18;14315159081.76;1406204232.00;0.15;531;PHOENIX PETROLEUM PHILIPPINES, INC.;PNX;9841681459717.74
129;11.00;2014-05-16;7.30;15739160620.00;2156049400.00;0.16;384;GLOBALPORT 900, INC.;PORT;9841681459717.74
150;70.20;2020-04-07;4.50;8917727710.50;1981717269.00;0.09;246;PRYCE CORPORATION;PPC;9841681459717.74
141;58.00;2020-04-06;8.50;4646332016.00;546627296.00;0.05;257;PHILIPPINE RACING CLUB, INC.;PRC;9841681459717.74
30;18.00;2020-04-07;0.72;504215003.52;700298616.00;0.01;106;PRIME MEDIA HOLDINGS, INC.;PRIM;9841681459717.74
214;25.00;2020-04-08;1.74;2891299997.10;1661666665.00;0.03;419;PRIMEX CORPORATION;PRMX;9841681459717.74
142;11.00;2020-04-08;43.45;18547041625.20;426859416.00;0.19;112;PHILIPPINE SAVINGS BANK;PSB;9841681459717.74
478;43.00;2020-04-08;169.30;13823368194.10;81650137.00;0.14;512;THE PHILIPPINE STOCK EXCHANGE, INC.;PSE;9841681459717.74
144;13.00;2020-04-07;76.60;76600000000.00;1000000000.00;0.78;393;PHILIPPINE TRUST COMPANY;PTC;9841681459717.74
76;16.00;2004-12-09;0.33;495000000.00;1500000000.00;0.01;132;PHILIPPINE TELEGRAPH & TELEPHONE CORPORATION;PTT;9841681459717.74
137;34.00;2020-04-08;2.04;10078414098.72;4940399068.00;0.10;331;PHILEX MINING CORPORATION;PX;9841681459717.74
628;30.41;2020-04-08;3.84;7526400000.00;1960000000.00;0.08;566;PXP Energy Corporation;PXP;9841681459717.74
232;24.08;2020-04-08;17.00;32905691232.00;1935628896.00;0.33;113;RIZAL COMMERCIAL BANKING CORPORATION;RCB;9841681459717.74
54;39.00;2020-04-08;1.45;2982373287.80;2056809164.00;0.03;363;ROXAS AND COMPANY, INC.;RCI;9841681459717.74
153;23.92;2020-03-30;2.60;1773370643.20;682065632.00;0.02;153;REPUBLIC GLASS HOLDINGS CORPORATION;REG;9841681459717.74
77;46.00;2020-04-08;4.52;15621062858.16;3455987358.00;0.16;164;RFM CORPORATION;RFM;9841681459717.74
195;38.94;2020-04-08;13.74;71363233611.90;5193830685.00;0.73;312;ROBINSONS LAND CORPORATION;RLC;9841681459717.74
40;54.43;2020-04-08;0.28;1353639349.43;4922324907.00;0.01;313;PHILIPPINE REALTY & HOLDINGS CORPORATION;RLT;9841681459717.74
635;13.00;2020-04-08;1.52;9297478540.96;6116762198.00;0.09;574;ROCKWELL LAND CORPORATION;ROCK;9841681459717.74
64;16.00;2020-04-08;1.36;2105192686.64;1547935799.00;0.02;250;ROXAS HOLDINGS, INC.;ROX;9841681459717.74
646;32.00;2020-04-08;61.50;96842418405.00;1574673470.00;0.98;589;ROBINSONS RETAIL HOLDINGS, INC.;RRHI;9841681459717.74
658;24.00;2020-04-08;5.75;8912499994.25;1549999999.00;0.09;612;SBS Philippines Corporation;SBS;9841681459717.74
157;25.51;2020-04-08;11.60;49306352392.00;4250547620.00;0.50;396;Semirara Mining and Power Corporation;SCC;9841681459717.74
32;59.02;2020-04-08;105.00;79121583135.00;753538887.00;0.80;114;SECURITY BANK CORPORATION;SECB;9841681459717.74
143;33.00;2020-04-08;132.00;99847213356.00;756418283.00;1.01;251;PHILIPPINE SEVEN CORPORATION "COMMON";SEVN;9841681459717.74
165;100.00;2020-04-08;0.11;197772158.56;1814423473.00;0.00;402;SWIFT FOODS, INC.;SFI;9841681459717.74
160;22.00;2020-04-08;0.95;1730464900.00;1821542000.00;0.02;224;SOLID GROUP, INC.;SGI;9841681459717.74
166;12.00;2020-04-08;174.50;8631817000.00;49466000.00;0.09;385;SYNERGY GRID & DEVELOPMENT PHILS., INC.;SGP;9841681459717.74
663;24.09;2020-04-08;18.06;29138802288.12;1613444202.00;0.30;629;PILIPINAS SHELL PETROLEUM CORPORATION;SHLPH;9841681459717.74
218;35.00;2020-04-08;2.77;13196435914.99;4764056287.00;0.13;301;SHANG PROPERTIES, INC.;SHNG;9841681459717.74
78;0.63;2020-04-08;1620.00;5991234660.00;587030503.00;0.06;122;SUN LIFE FINANCIAL, INC.;SLF;9841681459717.74
41;18.00;2020-04-08;1.85;15163432500.00;8196450000.00;0.15;417;STA. LUCIA LAND, INC.;SLI;9841681459717.74
599;47.00;2020-04-08;870.00;1047987094290.00;1204582867.00;10.65;520;SM INVESTMENTS CORPORATION;SM;9841681459717.74
154;16.01;2020-04-08;94.50;224770610421.00;2378524978.00;2.28;165;SAN MIGUEL CORPORATION;SMC;9841681459717.74
112;36.00;2020-04-08;29.20;843273565464.80;28879231694.00;8.57;314;SM PRIME HOLDINGS, INC.;SMPH;9841681459717.74
173;53.22;2020-04-08;0.42;1037081577.50;2498991753.00;0.01;228;WATERFRONT PHILIPPINES, INC.;WPI;9841681459717.74
89;56.00;2020-04-08;0.13;361289914.52;2737044807.00;0.00;232;ZEUS HOLDINGS, INC.;ZHI;9841681459717.74
174;43.00;2020-04-08;0.52;1656685695.08;3185934029.00;0.02;173;ABACORE CAPITAL HOLDINGS, INC.;ABA;9841681459717.74
176;33.00;2020-04-08;5.61;1683000000.00;300000000.00;0.02;350;ASIABEST GROUP INTERNATIONAL INC.;ABG;9841681459717.74
114;43.00;2020-04-08;16.84;14515607941.12;861971968.00;0.15;123;ABS-CBN CORPORATION;ABS;9841681459717.74
57;52.05;2020-04-08;498.00;311474665728.00;625451136.00;3.16;180;AYALA CORPORATION;AC;9841681459717.74
48;44.00;2020-04-07;1.20;413697024.00;344747520.00;0.00;370;ACESITE (PHILIPPINES) HOTEL CORPORATION;ACE;9841681459717.74
233;28.00;2020-04-08;2.02;15176247722.44;7512993922.00;0.15;140;AC Energy Philippines, Inc.;ACEPH;9841681459717.74
653;24.00;2020-04-08;5.19;1297500005.19;250000001.00;0.01;599;ACE Enexor, Inc.;ACEX;9841681459717.74
121;20.02;2020-04-08;1.00;6291500000.00;6291500000.00;0.06;170;ALSONS CONSOLIDATED RESOURCES, INC.;ACR;9841681459717.74
16;46.72;2020-04-08;41.95;236187957921.15;5630225457.00;2.40;183;ABOITIZ EQUITY VENTURES, INC.;AEV;9841681459717.74
212;27.00;2020-04-08;6.64;65197432116.56;9818890379.00;0.66;179;ALLIANCE GLOBAL GROUP, INC.;AGI;9841681459717.74
172;30.00;2020-04-08;0.57;3031314263.43;5318095199.00;0.03;316;ARTHALAND CORPORATION;ALCO;9841681459717.74
612;14.00;2020-04-08;6.41;6666406410.00;1040001000.00;0.07;536;ANCHOR LAND HOLDINGS, INC.;ALHI;9841681459717.74
180;54.63;2020-04-08;32.00;470897603232.00;14715550101.00;4.78;293;AYALA LAND, INC.;ALI;9841681459717.74
26;26.62;2020-04-08;1.50;9452387980.50;6301591987.00;0.10;202;AyalaLand Logistics Holdings Corp.;ALLHC;9841681459717.74
619;33.00;2020-04-08;6.99;7117735875.12;1018274088.00;0.07;547;AGRINURTURE, INC.;ANI;9841681459717.74
14;20.00;2020-04-08;5.90;14750000000.00;2500000000.00;0.15;169;A. SORIANO CORPORATION;ANS;9841681459717.74
609;19.13;2020-04-08;27.25;200521967365.75;7358604307.00;2.04;532;ABOITIZ POWER CORP.;AP;9841681459717.74
177;51.00;2020-04-08;0.29;2138698139.14;7504203997.00;0.02;182;APC GROUP, INC.;APC;9841681459717.74
638;12.00;2020-04-08;0.04;10652781273.29;280336349297.00;0.11;581;APOLLO GLOBAL CAPITAL, INC.;APL;9841681459717.74
52;16.57;2020-04-08;0.53;1591750345.14;3003302538.00;0.02;171;ANGLO PHILIPPINE HOLDINGS CORPORATION;APO;9841681459717.74
178;35.00;2020-04-08;0.75;4670915618.25;6227887491.00;0.05;318;APEX MINING COMPANY, INC. "A";APX;9841681459717.74
33;74.00;2020-04-08;0.00;219224042.62;199294584200.00;0.00;321;ABRA MINING & INDUSTRIAL CORPORATION;AR;9841681459717.74
38;24.00;2020-04-08;1.10;2146526327.00;1951387570.00;0.02;294;ARANETA PROPERTIES, INC.;ARA;9841681459717.74
34;20.13;2020-04-08;1.70;6051205715.80;3559532774.00;0.06;320;ATLAS CONSOLIDATED MINING & DEVELOPMENT CORPORATION;AT;9841681459717.74
53;65.00;2020-04-03;17.48;34960000000.00;2000000000.00;0.36;141;ASIAN TERMINALS, INC.;ATI;9841681459717.74
56;38.19;2020-04-08;0.49;388000000.00;800000000.00;0.00;175;ATN HOLDINGS, INC. "B";ATNB;9841681459717.74
641;34.00;2020-04-08;47.00;22809595286.00;485310538.00;0.23;584;ASIA UNITED BANK CORPORATION;AUB;9841681459717.74
673;27.00;2020-04-08;2.58;10310041200.00;3996140000.00;0.10;646;Axelum Resources Corp.;AXLM;9841681459717.74
161;24.00;2020-04-08;0.68;613305986.24;901920568.00;0.01;345;SOCResources, Inc.;SOC;9841681459717.74
237;13.00;2020-04-08;7.77;11628207509.31;1496551803.00;0.12;466;SPC POWER CORPORATION;SPC;9841681459717.74
156;81.00;2020-03-16;1.90;309700000.00;163000000.00;0.00;223;SEAFRONT RESOURCES CORPORATION;SPM;9841681459717.74
479;49.00;2009-05-11;0.80;88000000.00;110000000.00;0.00;513;SUPERCITY REALTY DEVELOPMENT CORPORATION;SRDC;9841681459717.74
654;29.10;2020-04-08;1.21;3991074200.30;3298408430.00;0.04;604;SSI Group, Inc.;SSI;9841681459717.74
655;14.99;2020-04-08;0.79;1710369047.69;2165024111.00;0.02;605;SFA SEMICON PHILIPPINES CORPORATION;SSP;9841681459717.74
222;35.57;2020-04-08;0.39;3813350665.74;9904806924.00;0.04;376;STI EDUCATION SYSTEMS HOLDINGS, INC.;STI;9841681459717.74
164;16.00;2006-07-05;0.26;260000000.00;1000000000.00;0.00;249;STENIEL MANUFACTURING CORPORATION;STN;9841681459717.74
147;10.00;2020-04-08;3.50;29490934046.00;8425981156.00;0.30;333;Vistamalls, Inc.;STR;9841681459717.74
73;14.00;2020-04-08;1.18;8555000000.00;7250000000.00;0.09;254;SUNTRUST HOME DEVELOPERS, INC.;SUN;9841681459717.74
163;29.00;2020-04-07;0.74;695600000.00;940000000.00;0.01;418;TKC METALS CORPORATION;T;9841681459717.74
269;37.15;2020-04-08;0.16;599708276.00;3795622000.00;0.01;511;TRANSPACIFIC BROADBAND GROUP INTERNATIONAL, INC.;TBGI;9841681459717.74
630;33.00;2020-04-08;5.97;2501808217.41;419063353.00;0.03;569;CIRTEK HOLDINGS PHILIPPINES CORPORATION;TECH;9841681459717.74
6;53.44;2020-04-08;1100.00;237661352500.00;216055775.00;2.41;134;PLDT Inc.;TEL;9841681459717.74
8;55.40;2020-01-20;49.45;1730750000.00;35000000.00;0.02;413;PTFC REDEVELOPMENT CORPORATION;TFC;9841681459717.74
650;12.00;2020-04-08;156.00;51930242052.00;332886167.00;0.53;595;TOP FRONTIER INVESTMENT HOLDINGS, INC.;TFHI;9841681459717.74
644;31.00;2020-04-08;0.74;661994283.80;894586870.00;0.01;587;HARBOR STAR SHIPPING SERVICES, INC.;TUGS;9841681459717.74
167;16.00;2020-04-08;53.80;65553764924.60;1218471467.00;0.67;115;UNION BANK OF THE PHILIPPINES;UBP;9841681459717.74
